nl12,nl13,nl14,nl15,nl16,nl17,nl18,nl19,nl20
0,0,0,0,0,0,0,1.780836820602417,0
2.102909564971924,1.7250885963439941,1.9522254467010498,2.2822344303131104,1.7125720977783203,1.576738715171814,2.0585179328918457,3.1276683807373047,2.8172264099121094
0,0,2.5384246110916138,5.5460145473480225,7.483582973480225,5.25039529800415,7.780363082885742,6.245524883270264,6.070795774459839
0.29910504817962646,0.41433072090148926,0.3031107485294342,0.686134397983551,2.8721818923950195,4.776908874511719,10.920149803161621,10.893567085266113,13.304874420166016
0,0,0,0,0.44842925667762756,3.85780668258667,11.980949878692627,10.455204486846924,9.05712080001831
0,0,0,0,0.5239717960357666,2.211374044418335,4.176053047180176,5.31738805770874,5.771256446838379
0,0,0,0,2.589544177055359,12.157331943511963,12.240735530853271,14.765549659729004,15.035953044891357
0.7750631272792816,1.196600317955017,0.5738577842712402,1.606378436088562,0.6389181613922119,1.2186052203178406,1.4552344679832458,0.7490546703338623,1.0542340874671936
0.8937574923038483,1.5255930423736572,2.0046926736831665,2.1174025535583496,0.5680454969406128,2.0844359397888184,0.9259666204452515,1.7154424786567688,2.014595627784729
1.099381685256958,0.823641300201416,1.2678987979888916,1.4559160470962524,0.7908433079719543,1.6971478462219238,1.500374436378479,1.6134440898895264,1.8029476404190063
0.839564710855484,0.8426403105258942,0.9368882179260254,1.0924749374389648,0.6126127243041992,1.1993547677993774,1.0884692668914795,1.2755865454673767,1.301596462726593
0.20952629297971725,1.0579720735549927,0,0.5556400418281555,0.7499772012233734,0.9956082701683044,0.9025269448757172,1.0790088772773743,1.3437577486038208
0.12649819254875183,0.11739613115787506,0.15937355160713196,0.3222385346889496,0.21456381678581238,0.3905356228351593,0.25069892406463623,0.31745147705078125,0.4435872435569763
2.5371129512786865,3.4873950481414795,2.127307653427124,2.128943920135498,0,1.4284963607788086,2.0014171600341797,2.733952522277832,2.6701080799102783
4.882819414138794,5.422902822494507,4.397433042526245,6.497828006744385,5.591321229934692,4.414994478225708,4.579299688339233,4.234868764877319,3.5870789289474487
0,0,0,0,0,0,0,0,0
2.050234079360962,2.9356021881103516,7.269009590148926,8.211277961730957,5.316321849822998,4.164986610412598,3.5158839225769043,3.3602242469787598,5.0150146484375
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.8529672026634216
3.0450706481933594,6.730147361755371,8.621245384216309,11.824244499206543,5.119739055633545,6.606758117675781,6.21429443359375,2.9449687004089355,7.7240891456604
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.13187479972839355,0,0,0,0,0,0.08736823499202728,0.4083146005868912,0.8937161266803741
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.3097382187843323,0.5008463263511658,0.5084384083747864,0.7971557378768921
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0.1570383906364441,0,0,0,0,0.3161032795906067,0.3134163022041321,0.42098233103752136
0,0.07631959766149521,0,0,0,0,0.13946586847305298,0.13084489107131958,0.19661086797714233
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.0042390823364258,0.8221229314804077,0,0
