"","region","year","expenditure","exp_schooling","mean_schooling","life_exp_birth","hdi"
"1","ACEH",2010,7934,12.9,8.28,69.08,67.09
"2","ACEH",2011,8044,13.03,8.32,69.15,67.45
"3","ACEH",2012,8134,13.19,8.36,69.23,67.81
"4","ACEH",2013,8289,13.36,8.44,69.31,68.3
"5","ACEH",2014,8297,13.53,8.71,69.35,68.81
"6","ACEH",2015,8533,13.73,8.77,69.5,69.45
"7","ACEH",2016,8768,13.89,8.86,69.51,70
"8","ACEH",2017,8957,14.13,8.98,69.52,70.6
"9","ACEH",2018,9186,14.27,9.09,69.64,71.19
"10","ACEH",2019,9603,14.3,9.18,69.87,71.9
"11","ACEH",2020,9492,14.31,9.33,69.93,71.99
"12","Simeulue",2010,5728,12.45,8.17,64.05,60.6
"13","Simeulue",2011,5781,12.66,8.26,64.15,61.03
"14","Simeulue",2012,5824,12.67,8.34,64.22,61.25
"15","Simeulue",2013,5920,12.67,8.55,64.23,61.68
"16","Simeulue",2014,5956,12.75,8.89,64.24,62.18
"17","Simeulue",2015,6328,12.83,8.9,64.66,63.16
"18","Simeulue",2016,6542,13.07,8.91,64.78,63.82
"19","Simeulue",2017,6677,13.23,9.06,64.9,64.41
"20","Simeulue",2018,6824,13.25,9.07,65,64.74
"21","Simeulue",2019,7210,13.51,9.08,65.22,65.7
"22","Simeulue",2020,7085,13.76,9.34,65.26,66.03
"23","Aceh Singkil",2010,7081,12.41,6.65,66.71,62.36
"24","Aceh Singkil",2011,7123,12.84,6.86,66.76,63.13
"25","Aceh Singkil",2012,7165,13.49,7.16,66.85,64.23
"26","Aceh Singkil",2013,7208,13.85,7.33,66.91,64.87
"27","Aceh Singkil",2014,7221,14.05,7.48,66.94,65.27
"28","Aceh Singkil",2015,7602,14.26,7.5,66.97,66.05
"29","Aceh Singkil",2016,8068,14.27,7.69,67.02,66.96
"30","Aceh Singkil",2017,8230,14.28,7.84,67.07,67.37
"31","Aceh Singkil",2018,8506,14.29,8.05,67.16,68.02
"32","Aceh Singkil",2019,8715,14.3,8.52,67.36,68.91
"33","Aceh Singkil",2020,8707,14.31,8.53,67.39,68.94
"34","Aceh Selatan",2010,6855,12.35,7.5,62.92,61.22
"35","Aceh Selatan",2011,6890,12.51,7.53,63.03,61.52
"36","Aceh Selatan",2012,6913,12.57,7.56,63.12,61.69
"37","Aceh Selatan",2013,6989,13.01,7.59,63.16,62.27
"38","Aceh Selatan",2014,7003,13.05,7.6,63.18,62.35
"39","Aceh Selatan",2015,7224,13.24,7.79,63.61,63.28
"40","Aceh Selatan",2016,7397,13.53,8.02,63.75,64.13
"41","Aceh Selatan",2017,7567,13.8,8.33,63.89,65.03
"42","Aceh Selatan",2018,7891,14.15,8.38,64.02,65.92
"43","Aceh Selatan",2019,8187,14.41,8.59,64.27,66.9
"44","Aceh Selatan",2020,8089,14.42,8.87,64.35,67.12
"45","Aceh Tenggara",2010,6663,12.43,8.38,66.85,63.82
"46","Aceh Tenggara",2011,6731,12.66,8.45,66.93,64.27
"47","Aceh Tenggara",2012,6788,13.18,8.57,66.96,64.99
"48","Aceh Tenggara",2013,6899,13.54,8.58,67.03,65.55
"49","Aceh Tenggara",2014,6949,13.59,8.77,67.07,65.9
"50","Aceh Tenggara",2015,7001,13.62,9.32,67.4,66.77
"51","Aceh Tenggara",2016,7212,13.96,9.33,67.51,67.48
"52","Aceh Tenggara",2017,7359,13.97,9.63,67.62,68.09
"53","Aceh Tenggara",2018,7685,13.98,9.64,67.77,68.67
"54","Aceh Tenggara",2019,8067,13.99,9.65,68.04,69.36
"55","Aceh Tenggara",2020,8020,14,9.66,68.14,69.37
"56","Aceh Timur",2010,6614,11.54,7.04,67.92,61.75
"57","Aceh Timur",2011,6897,11.61,7.09,67.97,62.35
"58","Aceh Timur",2012,7178,11.69,7.13,68.02,62.93
"59","Aceh Timur",2013,7219,11.76,7.28,68.05,63.27
"60","Aceh Timur",2014,7288,11.83,7.38,68.06,63.57
"61","Aceh Timur",2015,7623,12.23,7.4,68.2,64.55
"62","Aceh Timur",2016,7825,12.55,7.6,68.26,65.42
"63","Aceh Timur",2017,7961,13,7.8,68.33,66.32
"64","Aceh Timur",2018,8252,13.01,7.85,68.44,66.82
"65","Aceh Timur",2019,8600,13.02,7.86,68.67,67.39
"66","Aceh Timur",2020,8489,13.03,8.15,68.72,67.63
"67","Aceh Tengah",2010,9295,12.76,9.07,68.22,69.17
"68","Aceh Tengah",2011,9330,13.49,9.13,68.27,70
"69","Aceh Tengah",2012,9365,13.55,9.19,68.3,70.18
"70","Aceh Tengah",2013,9400,13.76,9.25,68.35,70.51
"71","Aceh Tengah",2014,9435,14.11,9.31,68.38,70.96
"72","Aceh Tengah",2015,9473,14.21,9.65,68.44,71.51
"73","Aceh Tengah",2016,9920,14.23,9.66,68.48,72.04
"74","Aceh Tengah",2017,10021,14.24,9.67,68.53,72.19
"75","Aceh Tengah",2018,10394,14.25,9.68,68.62,72.64
"76","Aceh Tengah",2019,10782,14.26,9.69,68.82,73.14
"77","Aceh Tengah",2020,10673,14.27,9.85,68.85,73.24
"78","Aceh Barat",2010,7576,14.02,7.64,67.16,66.05
"79","Aceh Barat",2011,7632,14.27,7.71,67.21,66.47
"80","Aceh Barat",2012,7688,14.29,7.77,67.25,66.66
"81","Aceh Barat",2013,7744,14.32,7.83,67.3,66.86
"82","Aceh Barat",2014,7771,14.35,8.17,67.33,67.31
"83","Aceh Barat",2015,8135,14.55,8.47,67.49,68.41
"84","Aceh Barat",2016,8559,14.56,8.7,67.56,69.26
"85","Aceh Barat",2017,8989,14.57,9.04,67.62,70.2
"86","Aceh Barat",2018,9134,14.58,9.08,67.72,70.47
"87","Aceh Barat",2019,9692,14.59,9.09,67.93,71.22
"88","Aceh Barat",2020,9516,14.6,9.37,67.98,71.38
"89","Aceh Besar",2010,8138,13.9,9.43,69.34,69.76
"90","Aceh Besar",2011,8246,13.91,9.44,69.38,69.94
"91","Aceh Besar",2012,8344,13.91,9.45,69.41,70.1
"92","Aceh Besar",2013,8497,14.21,9.46,69.44,70.61
"93","Aceh Besar",2014,8622,14.35,9.61,69.46,71.06
"94","Aceh Besar",2015,8775,14.47,9.91,69.47,71.7
"95","Aceh Besar",2016,8788,14.48,9.92,69.49,71.75
"96","Aceh Besar",2017,8965,14.49,9.93,69.52,72
"97","Aceh Besar",2018,9192,14.7,10.14,69.59,72.73
"98","Aceh Besar",2019,9661,14.71,10.31,69.77,73.55
"99","Aceh Besar",2020,9641,14.72,10.32,69.78,73.56
"100","Pidie",2010,9032,12.97,7.94,66.14,66.75
"101","Pidie",2011,9076,13.07,7.96,66.2,66.95
"102","Pidie",2012,9121,13.21,8.08,66.25,67.3
"103","Pidie",2013,9167,13.36,8.15,66.27,67.59
"104","Pidie",2014,9182,13.5,8.25,66.28,67.87
"105","Pidie",2015,9233,13.61,8.74,66.46,68.68
"106","Pidie",2016,9273,13.93,8.75,66.52,69.06
"107","Pidie",2017,9377,14.25,8.76,66.58,69.52
"108","Pidie",2018,9492,14.44,8.81,66.68,69.93
"109","Pidie",2019,9824,14.45,8.82,66.89,70.41
"110","Pidie",2020,9816,14.46,8.99,66.94,70.63
"111","Bireuen",2010,6644,13.66,8.34,70.27,66.42
"112","Bireuen",2011,6822,13.83,8.45,70.3,67.03
"113","Bireuen",2012,6996,14.03,8.5,70.32,67.57
"114","Bireuen",2013,7232,14.22,8.58,70.34,68.23
"115","Bireuen",2014,7319,14.25,8.85,70.35,68.71
"116","Bireuen",2015,7622,14.41,9.14,70.64,69.77
"117","Bireuen",2016,7885,14.42,9.15,70.72,70.21
"118","Bireuen",2017,8237,14.8,9.16,70.8,71.11
"119","Bireuen",2018,8378,14.81,9.17,70.92,71.37
"120","Bireuen",2019,8889,14.82,9.27,71.16,72.27
"121","Bireuen",2020,8857,14.83,9.28,71.22,72.28
"122","Aceh Utara",2010,6361,13.62,7.05,68.32,63.56
"123","Aceh Utara",2011,6465,13.69,7.39,68.36,64.22
"124","Aceh Utara",2012,6562,13.77,7.69,68.4,64.82
"125","Aceh Utara",2013,6714,13.89,7.83,68.41,65.36
"126","Aceh Utara",2014,6838,13.99,8.06,68.42,65.93
"127","Aceh Utara",2015,7327,14.1,8.07,68.48,66.85
"128","Aceh Utara",2016,7520,14.11,8.09,68.51,67.19
"129","Aceh Utara",2017,7632,14.42,8.1,68.54,67.67
"130","Aceh Utara",2018,7919,14.68,8.11,68.61,68.36
"131","Aceh Utara",2019,8189,14.69,8.46,68.79,69.22
"132","Aceh Utara",2020,8122,14.7,8.63,68.8,69.33
"133","Aceh Barat Daya",2010,6608,12.9,6.9,63.44,60.91
"134","Aceh Barat Daya",2011,6655,12.94,7.49,63.55,61.75
"135","Aceh Barat Daya",2012,6828,12.98,7.53,63.63,62.15
"136","Aceh Barat Daya",2013,6966,13.02,7.69,63.69,62.62
"137","Aceh Barat Daya",2014,7059,13.11,7.89,63.72,63.08
"138","Aceh Barat Daya",2015,7303,13.2,7.9,64.2,63.77
"139","Aceh Barat Daya",2016,7567,13.54,7.93,64.35,64.57
"140","Aceh Barat Daya",2017,7723,13.55,8.12,64.51,65.09
"141","Aceh Barat Daya",2018,8093,13.56,8.13,64.65,65.67
"142","Aceh Barat Daya",2019,8491,13.57,8.35,64.91,66.56
"143","Aceh Barat Daya",2020,8316,13.58,8.66,65,66.75
"144","Gayo Lues",2010,7611,12.66,5.59,64.24,60.93
"145","Gayo Lues",2011,7635,12.77,6.24,64.31,61.91
"146","Gayo Lues",2012,7646,12.89,6.88,64.38,62.85
"147","Gayo Lues",2013,7709,13.01,7,64.42,63.22
"148","Gayo Lues",2014,7742,13.03,7.04,64.44,63.34
"149","Gayo Lues",2015,7780,13.13,7.06,64.77,63.67
"150","Gayo Lues",2016,8048,13.27,7.1,64.88,64.26
"151","Gayo Lues",2017,8322,13.28,7.39,64.98,65.01
"152","Gayo Lues",2018,8529,13.49,7.69,65.12,65.88
"153","Gayo Lues",2019,8845,13.73,7.91,65.38,66.87
"154","Gayo Lues",2020,8791,13.77,8.2,65.47,67.22
"155","Aceh Tamiang",2010,7420,12.23,7.61,68.57,64.67
"156","Aceh Tamiang",2011,7455,12.34,7.64,68.61,64.89
"157","Aceh Tamiang",2012,7478,12.57,7.66,68.65,65.21
"158","Aceh Tamiang",2013,7554,12.79,7.69,68.66,65.56
"159","Aceh Tamiang",2014,7569,13.27,7.71,68.67,66.09
"160","Aceh Tamiang",2015,7750,13.54,7.95,68.99,67.03
"161","Aceh Tamiang",2016,7766,13.55,8.21,69.08,67.41
"162","Aceh Tamiang",2017,7931,13.56,8.47,69.16,67.99
"163","Aceh Tamiang",2018,8032,13.57,8.7,69.28,68.45
"164","Aceh Tamiang",2019,8362,13.58,8.89,69.52,69.23
"165","Aceh Tamiang",2020,8327,13.59,8.9,69.58,69.24
"166","Nagan Raya",2010,6629,13.12,7.12,68.17,63.57
"167","Nagan Raya",2011,6834,13.2,7.32,68.24,64.24
"168","Nagan Raya",2012,6902,13.27,7.73,68.26,64.91
"169","Nagan Raya",2013,7019,13.34,7.78,68.28,65.23
"170","Nagan Raya",2014,7084,13.42,7.93,68.29,65.58
"171","Nagan Raya",2015,7141,14.04,8.22,68.59,66.73
"172","Nagan Raya",2016,7460,14.09,8.24,68.67,67.32
"173","Nagan Raya",2017,7732,14.1,8.25,68.76,67.78
"174","Nagan Raya",2018,7936,14.11,8.26,68.89,68.15
"175","Nagan Raya",2019,8348,14.12,8.5,69.14,69.11
"176","Nagan Raya",2020,8216,14.13,8.68,69.22,69.18
"177","Aceh Jaya",2010,8514,12.44,7.17,66.29,64.75
"178","Aceh Jaya",2011,8596,12.51,7.34,66.35,65.17
"179","Aceh Jaya",2012,8679,13.3,7.64,66.39,66.42
"180","Aceh Jaya",2013,8691,13.69,7.7,66.45,66.92
"181","Aceh Jaya",2014,8721,13.81,7.88,66.48,67.3
"182","Aceh Jaya",2015,8749,13.93,7.89,66.63,67.53
"183","Aceh Jaya",2016,8796,13.94,7.95,66.7,67.7
"184","Aceh Jaya",2017,8898,13.95,8.13,66.77,68.07
"185","Aceh Jaya",2018,9262,13.96,8.37,66.88,68.83
"186","Aceh Jaya",2019,9682,13.97,8.66,67.11,69.74
"187","Aceh Jaya",2020,9615,13.98,8.7,67.16,69.75
"188","Bener Meriah",2010,9000,12.49,7.89,68.51,67.29
"189","Bener Meriah",2011,9289,12.69,8.22,68.56,68.24
"190","Bener Meriah",2012,9580,12.78,8.63,68.58,69.14
"191","Bener Meriah",2013,9645,12.93,8.93,68.62,69.74
"192","Bener Meriah",2014,9721,13.02,9,68.64,70
"193","Bener Meriah",2015,9760,13.04,9.42,68.79,70.62
"194","Bener Meriah",2016,10140,13.42,9.43,68.85,71.42
"195","Bener Meriah",2017,10428,13.43,9.55,68.9,71.89
"196","Bener Meriah",2018,10626,13.44,9.56,68.99,72.14
"197","Bener Meriah",2019,11124,13.45,9.78,69.19,72.97
"198","Bener Meriah",2020,11098,13.46,9.79,69.22,72.98
"199","Pidie Jaya",2010,8833,13.56,7.87,69.01,68.38
"200","Pidie Jaya",2011,8935,13.7,7.9,69.05,68.69
"201","Pidie Jaya",2012,9027,13.76,7.93,69.07,68.9
"202","Pidie Jaya",2013,9173,13.92,7.95,69.11,69.26
"203","Pidie Jaya",2014,9260,14.03,8.3,69.13,69.89
"204","Pidie Jaya",2015,9398,14.14,8.45,69.49,70.49
"205","Pidie Jaya",2016,9590,14.51,8.46,69.59,71.13
"206","Pidie Jaya",2017,9691,14.52,8.84,69.68,71.73
"207","Pidie Jaya",2018,9967,14.53,8.86,69.81,72.12
"208","Pidie Jaya",2019,10364,14.54,9.04,70.06,72.87
"209","Pidie Jaya",2020,10071,14.82,9.33,70.14,73.2
"210","Kota Banda Aceh",2010,13488,15.92,11.91,70.71,80.36
"211","Kota Banda Aceh",2011,13846,16.06,12,70.74,80.87
"212","Kota Banda Aceh",2012,14205,16.16,12.07,70.76,81.3
"213","Kota Banda Aceh",2013,14629,16.26,12.19,70.79,81.84
"214","Kota Banda Aceh",2014,14766,16.36,12.37,70.8,82.22
"215","Kota Banda Aceh",2015,15362,17.01,12.38,70.89,83.25
"216","Kota Banda Aceh",2016,15737,17.03,12.57,70.92,83.73
"217","Kota Banda Aceh",2017,15917,17.1,12.59,70.96,83.95
"218","Kota Banda Aceh",2018,16234,17.26,12.6,71.1,84.37
"219","Kota Banda Aceh",2019,16892,17.39,12.64,71.36,85.07
"220","Kota Banda Aceh",2020,16778,17.79,12.65,71.45,85.41
"221","Kota Sabang",2010,9047,11.76,10.08,69.52,69.7
"222","Kota Sabang",2011,9254,11.91,10.12,69.54,70.15
"223","Kota Sabang",2012,9692,12.07,10.16,69.54,70.84
"224","Kota Sabang",2013,9718,12.23,10.21,69.54,71.07
"225","Kota Sabang",2014,9823,12.39,10.35,69.54,71.5
"226","Kota Sabang",2015,10041,12.98,10.37,69.93,72.51
"227","Kota Sabang",2016,10507,13.17,10.51,70.01,73.36
"228","Kota Sabang",2017,10610,13.58,10.7,70.09,74.1
"229","Kota Sabang",2018,10899,13.66,10.97,70.21,74.82
"230","Kota Sabang",2019,11444,13.81,11.13,70.45,75.77
"231","Kota Sabang",2020,11273,13.95,11.14,70.51,75.78
"232","Kota Langsa",2010,9496,13.56,10.33,68.65,71.79
"233","Kota Langsa",2011,9713,13.61,10.38,68.7,72.15
"234","Kota Langsa",2012,9925,13.93,10.43,68.75,72.75
"235","Kota Langsa",2013,10198,14.25,10.47,68.78,73.4
"236","Kota Langsa",2014,10284,14.58,10.48,68.79,73.81
"237","Kota Langsa",2015,10605,15.16,10.49,68.94,74.74
"238","Kota Langsa",2016,11015,15.17,10.71,69,75.41
"239","Kota Langsa",2017,11261,15.18,10.9,69.06,75.89
"240","Kota Langsa",2018,11497,15.19,11.06,69.16,76.34
"241","Kota Langsa",2019,12099,15.34,11.1,69.37,77.16
"242","Kota Langsa",2020,12057,15.35,11.11,69.42,77.17
"243","Kota Lhokseumawe",2010,8597,13.89,10,70.53,71.55
"244","Kota Lhokseumawe",2011,8900,14.23,10.08,70.57,72.35
"245","Kota Lhokseumawe",2012,9303,14.91,10.16,70.59,73.55
"246","Kota Lhokseumawe",2013,9580,14.92,10.37,70.61,74.13
"247","Kota Lhokseumawe",2014,9678,15.11,10.39,70.62,74.44
"248","Kota Lhokseumawe",2015,10093,15.14,10.41,70.96,75.11
"249","Kota Lhokseumawe",2016,10549,15.16,10.53,71.05,75.78
"250","Kota Lhokseumawe",2017,10673,15.17,10.88,71.14,76.34
"251","Kota Lhokseumawe",2018,10863,15.18,10.89,71.27,76.62
"252","Kota Lhokseumawe",2019,11421,15.19,10.9,71.52,77.3
"253","Kota Lhokseumawe",2020,11367,15.2,10.91,71.6,77.31
"254","Kota Subulussalam",2010,6185,12.76,6.3,62.59,58.97
"255","Kota Subulussalam",2011,6230,12.89,6.41,62.66,59.34
"256","Kota Subulussalam",2012,6275,13.03,6.53,62.83,59.76
"257","Kota Subulussalam",2013,6320,13.16,6.65,62.86,60.11
"258","Kota Subulussalam",2014,6326,13.3,6.77,62.87,60.39
"259","Kota Subulussalam",2015,6504,13.73,6.78,63.27,61.32
"260","Kota Subulussalam",2016,6669,14.18,6.88,63.42,62.18
"261","Kota Subulussalam",2017,6887,14.19,7.12,63.56,62.88
"262","Kota Subulussalam",2018,7039,14.2,7.39,63.69,63.48
"263","Kota Subulussalam",2019,7463,14.21,7.58,63.94,64.46
"264","Kota Subulussalam",2020,7317,14.61,7.84,64.02,64.93
"265","SUMATERA UTARA",2010,9196,11.82,8.51,67.46,67.09
"266","SUMATERA UTARA",2011,9231,11.83,8.61,67.63,67.34
"267","SUMATERA UTARA",2012,9266,11.97,8.72,67.81,67.74
"268","SUMATERA UTARA",2013,9309,12.41,8.79,67.94,68.36
"269","SUMATERA UTARA",2014,9391,12.61,8.93,68.04,68.87
"270","SUMATERA UTARA",2015,9563,12.82,9.03,68.29,69.51
"271","SUMATERA UTARA",2016,9744,13,9.12,68.33,70
"272","SUMATERA UTARA",2017,10036,13.1,9.25,68.37,70.57
"273","SUMATERA UTARA",2018,10391,13.14,9.34,68.61,71.18
"274","SUMATERA UTARA",2019,10649,13.15,9.45,68.95,71.74
"275","SUMATERA UTARA",2020,10420,13.23,9.54,69.1,71.77
"276","Nias",2010,5236,10.2,4.59,68.45,54.72
"277","Nias",2011,5505,10.35,4.63,68.58,55.55
"278","Nias",2012,5710,10.75,4.67,68.69,56.5
"279","Nias",2013,5914,11.15,4.71,68.77,57.43
"280","Nias",2014,5980,11.45,4.75,68.87,57.98
"281","Nias",2015,6234,11.77,4.76,68.97,58.85
"282","Nias",2016,6409,12.09,4.92,69.07,59.75
"283","Nias",2017,6629,12.12,4.93,69.18,60.21
"284","Nias",2018,6941,12.13,4.94,69.43,60.82
"285","Nias",2019,7042,12.39,5.15,69.68,61.65
"286","Nias",2020,6898,12.57,5.36,69.75,61.93
"287","Mandailing Natal",2010,8425,11.2,7.27,60.6,60.76
"288","Mandailing Natal",2011,8829,11.36,7.39,60.77,61.6
"289","Mandailing Natal",2012,8871,11.78,7.47,60.95,62.26
"290","Mandailing Natal",2013,8960,12.21,7.52,61.08,62.91
"291","Mandailing Natal",2014,9040,12.57,7.54,61.18,63.42
"292","Mandailing Natal",2015,9096,12.77,7.63,61.58,63.99
"293","Mandailing Natal",2016,9237,12.78,7.89,61.77,64.55
"294","Mandailing Natal",2017,9385,12.99,8,61.97,65.13
"295","Mandailing Natal",2018,9653,13.15,8.11,62.24,65.83
"296","Mandailing Natal",2019,9900,13.17,8.36,62.51,66.52
"297","Mandailing Natal",2020,9684,13.32,8.62,62.6,66.79
"298","Tapanuli Selatan",2010,10070,11.3,7.87,62.42,64.2
"299","Tapanuli Selatan",2011,10213,11.93,7.92,62.64,65.14
"300","Tapanuli Selatan",2012,10357,12.43,7.96,62.87,65.95
"301","Tapanuli Selatan",2013,10504,12.93,8.04,63.04,66.75
"302","Tapanuli Selatan",2014,10593,13.04,8.22,63.14,67.22
"303","Tapanuli Selatan",2015,10623,13.06,8.27,63.74,67.63
"304","Tapanuli Selatan",2016,10821,13.07,8.35,64.01,68.04
"305","Tapanuli Selatan",2017,10955,13.08,8.67,64.28,68.69
"306","Tapanuli Selatan",2018,11209,13.1,8.7,64.55,69.1
"307","Tapanuli Selatan",2019,11410,13.12,8.97,64.82,69.75
"308","Tapanuli Selatan",2020,11236,13.24,9.28,64.91,70.12
"309","Tapanuli Tengah",2010,8796,11.48,7.36,66.43,64.39
"310","Tapanuli Tengah",2011,9222,11.71,7.41,66.45,65.16
"311","Tapanuli Tengah",2012,9324,11.8,7.45,66.46,65.43
"312","Tapanuli Tengah",2013,9382,11.89,7.5,66.47,65.64
"313","Tapanuli Tengah",2014,9489,12.21,7.55,66.49,66.16
"314","Tapanuli Tengah",2015,9555,12.4,8.02,66.59,67.06
"315","Tapanuli Tengah",2016,9694,12.45,8.03,66.62,67.27
"316","Tapanuli Tengah",2017,9852,12.65,8.28,66.66,67.96
"317","Tapanuli Tengah",2018,10067,12.66,8.29,66.82,68.27
"318","Tapanuli Tengah",2019,10175,12.79,8.48,67.08,68.86
"319","Tapanuli Tengah",2020,10071,13.06,8.62,67.15,69.23
"320","Tapanuli Utara",2010,10299,12.33,8.54,66.76,68.43
"321","Tapanuli Utara",2011,10740,12.58,8.6,66.91,69.24
"322","Tapanuli Utara",2012,10786,12.83,8.79,67.05,69.83
"323","Tapanuli Utara",2013,10850,13.09,9.04,67.15,70.5
"324","Tapanuli Utara",2014,10964,13.14,9.05,67.25,70.7
"325","Tapanuli Utara",2015,11079,13.19,9.31,67.55,71.32
"326","Tapanuli Utara",2016,11242,13.61,9.32,67.71,71.96
"327","Tapanuli Utara",2017,11407,13.65,9.46,67.86,72.38
"328","Tapanuli Utara",2018,11607,13.66,9.65,68.11,72.91
"329","Tapanuli Utara",2019,11791,13.68,9.71,68.46,73.33
"330","Tapanuli Utara",2020,11648,13.69,9.85,68.63,73.47
"331","Toba Samosir",2010,10777,12.1,9.67,68.59,70.9
"332","Toba Samosir",2011,10909,12.36,9.71,68.72,71.39
"333","Toba Samosir",2012,11043,12.62,9.75,68.86,71.89
"334","Toba Samosir",2013,11178,12.89,9.79,68.94,72.36
"335","Toba Samosir",2014,11250,13.16,9.83,69.04,72.79
"336","Toba Samosir",2015,11535,13.18,10.08,69.14,73.4
"337","Toba Samosir",2016,11687,13.19,10.09,69.25,73.61
"338","Toba Samosir",2017,11846,13.25,10.1,69.36,73.87
"339","Toba Samosir",2018,12095,13.26,10.34,69.59,74.48
"340","Toba Samosir",2019,12375,13.28,10.36,69.93,74.92
"341","Toba Samosir",2020,12154,13.45,10.52,70.08,75.16
"342","Labuhan Batu",2010,9762,10.71,8.17,69.16,66.88
"343","Labuhan Batu",2011,9909,11.32,8.32,69.19,67.88
"344","Labuhan Batu",2012,10058,11.72,8.46,69.22,68.64
"345","Labuhan Batu",2013,10210,12.17,8.6,69.24,69.45
"346","Labuhan Batu",2014,10325,12.56,8.68,69.26,70.06
"347","Labuhan Batu",2015,10356,12.57,8.75,69.36,70.23
"348","Labuhan Batu",2016,10559,12.58,8.78,69.4,70.5
"349","Labuhan Batu",2017,10760,12.59,9.01,69.44,71
"350","Labuhan Batu",2018,11053,12.6,9.04,69.6,71.39
"351","Labuhan Batu",2019,11193,12.67,9.23,69.86,71.94
"352","Labuhan Batu",2020,11150,12.73,9.24,69.93,72.01
"353","Asahan",2010,9532,10.95,7.57,66.85,65.06
"354","Asahan",2011,9652,11.36,7.71,66.98,65.87
"355","Asahan",2012,9773,11.43,7.8,67.1,66.23
"356","Asahan",2013,9895,11.51,7.89,67.17,66.58
"357","Asahan",2014,9988,12.15,7.98,67.27,67.51
"358","Asahan",2015,10067,12.49,8.32,67.37,68.4
"359","Asahan",2016,10288,12.52,8.33,67.47,68.71
"360","Asahan",2017,10477,12.53,8.46,67.57,69.1
"361","Asahan",2018,10735,12.56,8.47,67.79,69.49
"362","Asahan",2019,10983,12.59,8.49,68.11,69.92
"363","Asahan",2020,10890,12.6,8.79,68.26,70.29
"364","Simalungun",2010,10092,11.73,8.31,69.87,68.8
"365","Simalungun",2011,10224,11.75,8.33,69.98,69.03
"366","Simalungun",2012,10358,12.28,8.35,70.08,69.79
"367","Simalungun",2013,10494,12.57,8.37,70.14,70.28
"368","Simalungun",2014,10597,12.63,8.7,70.24,70.89
"369","Simalungun",2015,10728,12.69,8.8,70.34,71.24
"370","Simalungun",2016,10855,12.7,8.86,70.43,71.48
"371","Simalungun",2017,11055,12.71,8.95,70.53,71.83
"372","Simalungun",2018,11311,12.75,9.18,70.75,72.49
"373","Simalungun",2019,11422,12.77,9.36,71.07,72.98
"374","Simalungun",2020,11308,12.78,9.6,71.22,73.25
"375","Dairi",2010,9040,11.34,8.29,66.92,65.91
"376","Dairi",2011,9461,11.37,8.41,67.09,66.62
"377","Dairi",2012,9520,11.4,8.54,67.26,66.95
"378","Dairi",2013,9580,11.43,8.58,67.38,67.15
"379","Dairi",2014,9642,12.05,8.59,67.48,67.91
"380","Dairi",2015,9708,12.8,8.69,67.78,69
"381","Dairi",2016,10190,12.84,8.7,67.95,69.61
"382","Dairi",2017,10395,13.06,8.9,68.13,70.36
"383","Dairi",2018,10492,13.07,9.15,68.41,70.89
"384","Dairi",2019,10602,13.09,9.34,68.79,71.42
"385","Dairi",2020,10350,13.1,9.58,69,71.57
"386","Karo",2010,11173,11.39,8.88,70.29,70.36
"387","Karo",2011,11265,11.84,9.03,70.32,71.12
"388","Karo",2012,11359,11.86,9.17,70.34,71.4
"389","Karo",2013,11453,11.87,9.25,70.38,71.62
"390","Karo",2014,11548,11.89,9.33,70.42,71.84
"391","Karo",2015,11800,12.22,9.5,70.62,72.69
"392","Karo",2016,11925,12.65,9.51,70.69,73.29
"393","Karo",2017,12059,12.71,9.54,70.77,73.53
"394","Karo",2018,12367,12.73,9.55,70.97,73.91
"395","Karo",2019,12474,12.75,9.62,71.27,74.25
"396","Karo",2020,12349,12.76,9.79,71.4,74.43
"397","Deli Serdang",2010,10512,11.1,9.19,70.74,70.06
"398","Deli Serdang",2011,10647,11.14,9.2,70.75,70.25
"399","Deli Serdang",2012,10785,11.61,9.21,70.76,70.88
"400","Deli Serdang",2013,10924,11.77,9.37,70.78,71.39
"401","Deli Serdang",2014,11065,12.11,9.46,70.8,71.98
"402","Deli Serdang",2015,11359,12.52,9.48,71,72.79
"403","Deli Serdang",2016,11683,12.69,9.68,71.06,73.51
"404","Deli Serdang",2017,11891,12.9,9.7,71.11,73.94
"405","Deli Serdang",2018,12132,13.32,9.92,71.31,74.92
"406","Deli Serdang",2019,12317,13.34,10.08,71.61,75.43
"407","Deli Serdang",2020,12225,13.35,10.09,71.73,75.44
"408","Langkat",2010,9351,10.77,7.48,66.86,64.57
"409","Langkat",2011,9850,11.23,7.59,67,65.77
"410","Langkat",2012,9910,11.37,7.69,67.14,66.18
"411","Langkat",2013,9970,12.21,7.69,67.23,67.17
"412","Langkat",2014,10062,12.69,7.85,67.33,68
"413","Langkat",2015,10364,12.7,7.92,67.63,68.53
"414","Langkat",2016,10567,12.71,8.18,67.79,69.13
"415","Langkat",2017,10784,12.72,8.51,67.94,69.82
"416","Langkat",2018,11088,12.75,8.52,68.22,70.27
"417","Langkat",2019,11208,12.81,8.64,68.59,70.76
"418","Langkat",2020,11071,13.05,8.65,68.8,71
"419","Nias Selatan",2010,5840,11.08,3.35,66.82,54.54
"420","Nias Selatan",2011,6026,11.11,3.75,66.91,55.5
"421","Nias Selatan",2012,6213,11.14,3.8,67.01,55.97
"422","Nias Selatan",2013,6266,11.17,4.28,67.06,56.78
