nl12,nl13,nl14,nl15,nl16,nl17,nl18,nl19,nl20
0,0,0,0,0,0,0,2.178984224796295,0
4.635034121470909,4.422960300423783,5.233448568068138,5.185907345384224,4.236975878136888,3.8371133159284723,3.844184066743067,6.300350505195252,6.099406133503674
0,0.011031192727386951,3.473736268468201,6.369575299322605,10.214912548661232,6.9199169129133224,8.25210377573967,7.727436527609825,7.340382218360901
0.49791088700294495,0.4281417727470398,0.38881156146526336,0.7946402072906494,3.1604143619537353,6.039936447143555,12.307241630554199,13.945216941833497,13.526885414123536
0,0,0,0,0.5097007006406784,5.508756875991821,11.111603021621704,12.48603343963623,9.560630321502686
0,0,0,0,0.6801473498344421,4.989297824747422,5.9961470085031845,7.365600501789766,6.642968465300167
0,0,0,0.019927896559238434,3.8103574415047965,14.553392100334168,14.802128553390503,17.147913805643718,15.866398922602336
0.6025411486625671,1.2322127670049667,0.7133838012814522,1.617837816476822,0.6509146690368652,1.0153112709522247,1.1740853488445282,0.8031605780124664,1.1058902740478516
0.8937574923038483,1.5255930423736572,2.0046926736831665,2.1174025535583496,0.5680454969406128,2.0844359397888184,0.9259666204452515,1.7154424786567688,2.014595627784729
1.2188550631205242,0.9639884233474731,1.1997092962265015,1.4323631525039673,0.7383695840835571,1.6249072154362996,1.509566346804301,1.9559379816055298,1.7332804203033447
0.9484147354960442,0.8267559483647346,1.0508406236767769,1.1597228348255157,0.6728843972086906,1.251180149614811,1.1634978950023651,1.5416548773646355,1.4181315377354622
1.0424891032278538,1.615753284096718,1.3335660502314568,1.705417388677597,1.4740980327129365,1.741262102127075,1.797178402543068,1.5803503185510634,2.471124193072319
0.13516016180316606,0.2112376680597663,0.35971198237190644,0.5353962257504463,0.5433548049380382,0.5880385259787242,0.3306442081928253,0.534029604991277,0.6423238068819046
2.789449691772461,3.026441049575806,2.158820962905884,2.270120358467102,0.1438271313905716,1.7105183124542236,2.0742220640182496,2.935778045654297,2.4907485008239747
6.745988454268529,7.53895327104972,7.4950214794048895,8.623018964666587,7.956820467114449,7.08690062875931,6.947332328557968,5.8644361252968125,6.019475535246042
0.09129422937714776,0.0905083958276136,0.08577420547344657,0.10340501177449558,0.11177200694070306,0.1816862676032754,0.035485848437908085,0.04862679506457129,0.09750251471996307
2.2200533747673035,3.3424349784851075,7.769174353281657,8.470570437113444,5.840046644210815,5.185011847813924,4.191492756207784,3.8094024896621703,4.876589365800222
0,0,0,0,0,0,0,0,0
0.3491393884023031,0.2400753657023112,0,0,0,0,0,0,0.8585134108861288
3.595674059607766,7.190589514645663,8.513634941794656,13.361229463057084,6.175362478603017,5.959856477650729,7.2264088067141445,5.52654108134183,8.938827406276356
0,0,0,0,0,0,0,0,0.14249024678159644
0,0.002803065455876864,0,0,0,0,0.047434558088962846,0.0507467847604018,0.01866199649297274
0.13407229880491892,0,0,0,0,0.09130999942620595,0.16425475974877676,0.43795431156953174,0.8411629994710287
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.330898642539978,0.4640088975429535,0.5739051486764636,0.8249512144497463
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.02279868721961975,0.26873667538166046,0,0,0.05449879169464111,0.12899041175842285,0.3725587725639343,0.3885876536369324,0.4978253146012624
0.017099015414714813,0.07741939648985863,0,0,0,0,0.14875875413417816,0.1437765210866928,0.2035510167479515
0,0.05234613021214803,0,0,0,0,0.10536775986353557,0.1044721007347107,0.1403274436791738
0,0,0,0,0,1.0509031902660022,1.0469289909709583,0,0.16795488379218362
0,0,0,0,0.6603433936834335,1.7084455490112305,0.7725168615579605,0,0
0,0,0,0,0,0.0679536834359169,0.050544172525405884,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0.004327802608410518,0.13259533792734146,0.16355509559313455,0.12103274216254552,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0.05844899199225686,0,0,0,0,0,0,0.09733926708048041
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
5.435203313827515,1.4869589904944103,5.913784742355347,6.459250450134277,7.15160870552063,8.510985692342123,10.674440542856852,14.204254786173502,7.248469352722168
0,0,0,0,0,0,0,0,0
0,0.06349264913135105,0,0.04630749258730146,0.0339316146241294,0.09061474270290798,0.10994030700789557,0.1227303147315979,0.09032551447550456
0.38325124606490135,0.26798393204808235,0.22379878163337708,0.20523587614297867,0.1829775646328926,0.30266058444976807,1.2329008281230927,0.6618531867861748,0.2819596230983734
0.0220375657081604,0.331098823593213,0.05871952726290776,0.2779923700369321,0.18107603604976946,0.41335695064984834,0.6243469394170321,0.7576608199339646,0.6709990822351896
0.01935095489025116,0.06801486760377884,0.027887532114982606,0.12542484253644942,0.07523609846830367,0.269156613945961,0.16614724397659303,0.4092914044857025,0.4419338464736938
5.875585714975993,4.691298047701518,5.267982403437297,7.990013122558594,6.354737122853597,6.668333927790324,6.108079353968303,7.065291881561279,8.060012976328531
0.8549424111843109,1.01395978530248,1.8075907776753108,2.072398602962494,1.645964692036311,2.0154561201731362,2.1829049388567605,2.6442129214604697,2.721781611442566
