cr_code,cr_name,cr_statecode,year,expenditure,exp_schooling,mean_schooling,life_exp_birth,hdi,tree_cover,cropland,other_veg,urban,water,area_total,area_tree_cover,area_cropland,area_other_veg,area_urban,area_water,mining_value,mining_dummy
ID1101,Simeulue,ID11,2010,5728,12.45,8.17,64.05,60.6,0.7985808725537425,0.005741259669238589,0.15435411990501285,0.0015170267927172385,0.039806721079288655,1.8374800411378782,1.4673764145519737,0.010549450053215764,0.28362261459286403,0.002787506453489335,0.07314405548633536,0,0
ID1101,Simeulue,ID11,2011,5781,12.66,8.26,64.15,61.03,0.798552989828485,0.005741776016002618,0.15440575458141576,0.00156866146912014,0.03973081810497639,1.8374800411378782,1.4673251806008203,0.010550398830088974,0.28371749228018495,0.0028823841408102792,0.073004585285973575,0,0
ID1101,Simeulue,ID11,2012,5824,12.67,8.34,64.22,61.25,0.798552989828485,0.005741776016002618,0.15440575458141576,0.00156866146912014,0.03973081810497639,1.8374800411378782,1.4673251806008203,0.010550398830088974,0.28371749228018495,0.0028823841408102792,0.073004585285973575,0,0
ID1101,Simeulue,ID11,2013,5920,12.67,8.55,64.23,61.68,0.7990006624728981,0.005749004870699025,0.15440575458141576,0.00156866146912014,0.03927591660586683,1.8374800411378782,1.4681477701498928,0.010563681706313907,0.28371749228018495,0.0028823841408102792,0.07216871286067605,0,0
ID1101,Simeulue,ID11,2014,5956,12.75,8.89,64.24,62.18,0.8012157900905826,0.006104251444350985,0.15574257635348687,0.00156866146912014,0.03536872064245929,1.8374800411378782,1.4722180229359614,0.011216440195082,0.2861738756049242,0.0028823841408102792,0.06498931826110023,0,0
ID1101,Simeulue,ID11,2015,6328,12.83,8.9,64.66,63.16,0.8012157900905826,0.006104251444350985,0.15574257635348687,0.00156866146912014,0.03536872064245929,1.8374800411378782,1.4722180229359614,0.011216440195082,0.2861738756049242,0.0028823841408102792,0.06498931826110023,0,0
ID1101,Simeulue,ID11,2016,6542,13.07,8.91,64.78,63.82,0.802041944913029,0.006104251444350985,0.15491642153104043,0.00156866146912014,0.03536872064245929,1.8374800411378782,1.4737360659330965,0.011216440195082,0.28465583260778904,0.0028823841408102792,0.06498931826110023,0,0
ID1101,Simeulue,ID11,2017,6677,13.23,9.06,64.9,64.41,0.801009251384971,0.006155886120753887,0.15589748038269557,0.00156866146912014,0.03536872064245929,1.8374800411378782,1.4718385121866777,0.011311317882402945,0.28645850866688705,0.0028823841408102792,0.06498931826110023,0,0
ID1101,Simeulue,ID11,2018,6824,13.25,9.07,65,64.74,0.7991504030344665,0.006517328855574196,0.1573948859983797,0.00156866146912014,0.03536872064245929,1.8374800411378782,1.4684229154431234,0.011975461693649554,0.2892099615991944,0.0028823841408102792,0.06498931826110023,0,0
ID1101,Simeulue,ID11,2019,7210,13.51,9.08,65.22,65.7,0.8003896352681361,0.006517328855574196,0.15615565376471008,0.00156866146912014,0.03536872064245929,1.8374800411378782,1.470699979938826,0.011975461693649554,0.28693289710349174,0.0028823841408102792,0.06498931826110023,0,0
ID1101,Simeulue,ID11,2020,7085,13.76,9.34,65.26,66.03,0.7969487004326469,0.006577741426965589,0.15951190773089863,0.0015929297670295034,0.03536872064245929,1.8374800411378782,1.4643773308557586,0.012086468587815057,0.293099946779353,0.0029269766538511225,0.06498931826110023,0,0
ID1102,Aceh Singkil,ID11,2010,7081,12.41,6.65,66.71,62.36,0.5245671062066968,0.025275647014926125,0.41958640124630764,0.003270149663531118,0.027300695868538276,1.8871707966089937,0.9899477236949665,0.04769946291196587,0.7918312030862953,0.006171330945556653,0.05152107597020924,0,0
ID1102,Aceh Singkil,ID11,2011,7123,12.84,6.86,66.76,63.13,0.5121970598322232,0.02615113995114136,0.4310809546845661,0.0033204364490690406,0.027250409083000353,1.8871707966089937,0.966603333424361,0.04935166761382872,0.813523388655038,0.00626623069867916,0.051426176217086735,0,0
ID1102,Aceh Singkil,ID11,2012,7165,13.49,7.16,66.85,64.23,0.5056311142445366,0.026452860664368895,0.4377037243399105,0.0033204364490690406,0.026891864302114963,1.8871707966089937,0.9542122726591551,0.04992106613256376,0.8260216861412722,0.00626623069867916,0.05074954097732325,0,0
ID1102,Aceh Singkil,ID11,2013,7208,13.85,7.33,66.91,64.87,0.504105413171316,0.02655343423544474,0.4390785650565173,0.0033707232346069636,0.026891864302114963,1.8871707966089937,0.9513330141494183,0.050110865638808774,0.8286162453916417,0.006361130451801668,0.05074954097732325,0,0
ID1102,Aceh Singkil,ID11,2014,7221,14.05,7.48,66.94,65.27,0.5156452247165585,0.02650314744990682,0.4277122429213806,0.0035170577805223187,0.026622327131631696,1.8871707966089937,0.9731106094959713,0.05001596588568628,0.8071660541933613,0.0066372887333881634,0.050240878300586614,0,0
ID1102,Aceh Singkil,ID11,2015,7602,14.26,7.5,66.97,66.05,0.5156452247165585,0.02650314744990682,0.4277122429213806,0.0035170577805223187,0.026622327131631696,1.8871707966089937,0.9731106094959713,0.05001596588568628,0.8071660541933613,0.0066372887333881634,0.050240878300586614,0,0
ID1102,Aceh Singkil,ID11,2016,8068,14.27,7.69,67.02,66.96,0.5146394890058,0.026603721020982664,0.4286174050610632,0.0035170577805223187,0.026622327131631696,1.8871707966089937,0.9712126144335211,0.050205765391931285,0.8088742497495663,0.0066372887333881634,0.050240878300586614,0,0
