cr_id,cr_name,province_id,province_name,city
1806,Lingga,18,Kepulauan Riau,FALSE
1807,Natuna,18,Kepulauan Riau,FALSE
1901,Kota Bandar Lampung,19,Lampung,TRUE
1902,Kota Metro,19,Lampung,TRUE
1903,Lampung Barat,19,Lampung,FALSE
1904,Lampung Selatan,19,Lampung,FALSE
1905,Lampung Tengah,19,Lampung,FALSE
1906,Lampung Timur,19,Lampung,FALSE
1907,Lampung Utara,19,Lampung,FALSE
1908,Mesuji,19,Lampung,FALSE
1909,Pesawaran,19,Lampung,FALSE
1910,Pesisir Barat,19,Lampung,FALSE
1911,Pringsewu,19,Lampung,FALSE
1912,Tanggamus,19,Lampung,FALSE
1913,Tulang Bawang Barat,19,Lampung,FALSE
1914,Tulangbawang,19,Lampung,FALSE
1915,Way Kanan,19,Lampung,FALSE
2001,Buru,20,Maluku,FALSE
2002,Buru Selatan,20,Maluku,FALSE
2003,Kepulauan Aru,20,Maluku,FALSE
2004,Kota Ambon,20,Maluku,TRUE
2005,Kota Tual,20,Maluku,TRUE
2006,Maluku Barat Daya,20,Maluku,FALSE
2007,Maluku Tengah,20,Maluku,FALSE
2008,Maluku Tenggara,20,Maluku,FALSE
2009,Maluku Tenggara Barat,20,Maluku,FALSE
2010,Seram Bagian Barat,20,Maluku,FALSE
2011,Seram Bagian Timur,20,Maluku,FALSE
2101,Halmahera Barat,21,Maluku Utara,FALSE
2102,Halmahera Selatan,21,Maluku Utara,FALSE
2103,Halmahera Tengah,21,Maluku Utara,FALSE
2104,Halmahera Timur,21,Maluku Utara,FALSE
2105,Halmahera Utara,21,Maluku Utara,FALSE
2106,Kepulauan Sula,21,Maluku Utara,FALSE
2107,Kota Ternate,21,Maluku Utara,TRUE
2108,Kota Tidore Kepulauan,21,Maluku Utara,TRUE
2109,Pulau Morotai,21,Maluku Utara,FALSE
2110,Pulau Taliabu,21,Maluku Utara,FALSE
2201,Bima,22,Nusa Tenggara Barat,FALSE
2202,Dompu,22,Nusa Tenggara Barat,FALSE
2203,Kota Bima,22,Nusa Tenggara Barat,TRUE
2204,Kota Mataram,22,Nusa Tenggara Barat,TRUE
2205,Lombok Barat,22,Nusa Tenggara Barat,FALSE
2206,Lombok Tengah,22,Nusa Tenggara Barat,FALSE
2207,Lombok Timur,22,Nusa Tenggara Barat,FALSE
2208,Lombok Utara,22,Nusa Tenggara Barat,FALSE
2209,Sumbawa,22,Nusa Tenggara Barat,FALSE
2210,Sumbawa Barat,22,Nusa Tenggara Barat,FALSE
2301,Alor,23,Nusa Tenggara Timur,FALSE
2302,Belu,23,Nusa Tenggara Timur,FALSE
2303,Ende,23,Nusa Tenggara Timur,FALSE
2304,Flores Timur,23,Nusa Tenggara Timur,FALSE
2305,Kota Kupang,23,Nusa Tenggara Timur,TRUE
2306,Kupang,23,Nusa Tenggara Timur,FALSE
2307,Lembata,23,Nusa Tenggara Timur,FALSE
2308,Malaka,23,Nusa Tenggara Timur,FALSE
2309,Manggarai,23,Nusa Tenggara Timur,FALSE
2310,Manggarai Barat,23,Nusa Tenggara Timur,FALSE
2311,Manggarai Timur,23,Nusa Tenggara Timur,FALSE
2312,Nagekeo,23,Nusa Tenggara Timur,FALSE
2313,Ngada,23,Nusa Tenggara Timur,FALSE
2314,Rote Ndao,23,Nusa Tenggara Timur,FALSE
2315,Sabu Raijua,23,Nusa Tenggara Timur,FALSE
2316,Sikka,23,Nusa Tenggara Timur,FALSE
2317,Sumba Barat,23,Nusa Tenggara Timur,FALSE
2318,Sumba Barat Daya,23,Nusa Tenggara Timur,FALSE
2319,Sumba Tengah,23,Nusa Tenggara Timur,FALSE
2320,Sumba Timur,23,Nusa Tenggara Timur,FALSE
2321,Timor Tengah Selatan,23,Nusa Tenggara Timur,FALSE
2322,Timor Tengah Utara,23,Nusa Tenggara Timur,FALSE
2401,Asmat,24,Papua,FALSE
2402,Biak Numfor,24,Papua,FALSE
2403,Boven Digoel,24,Papua,FALSE
2404,Deiyai,24,Papua,FALSE
2405,Dogiyai,24,Papua,FALSE
2406,Intan Jaya,24,Papua,FALSE
2407,Jayapura,24,Papua,FALSE
2408,Jayawijaya,24,Papua,FALSE
2409,Keerom,24,Papua,FALSE
2410,Kepulauan Yapen,24,Papua,FALSE
2411,Kota Jayapura,24,Papua,TRUE
2412,Lanny Jaya,24,Papua,FALSE
2413,Mamberamo Raya,24,Papua,FALSE
2414,Mamberamo Tengah,24,Papua,FALSE
2415,Mappi,24,Papua,FALSE
2416,Merauke,24,Papua,FALSE
2417,Mimika,24,Papua,FALSE
2418,Nabire,24,Papua,FALSE
2419,Nduga,24,Papua,FALSE
2420,Paniai,24,Papua,FALSE
2421,Pegunungan Bintang,24,Papua,FALSE
2422,Puncak,24,Papua,FALSE
2423,Puncak Jaya,24,Papua,FALSE
2424,Sarmi,24,Papua,FALSE
2425,Supiori,24,Papua,FALSE
2426,Tolikara,24,Papua,FALSE
2427,Waropen,24,Papua,FALSE
2428,Yahukimo,24,Papua,FALSE
2429,Yalimo,24,Papua,FALSE
2501,Fakfak,25,Papua Barat,FALSE
2502,Kaimana,25,Papua Barat,FALSE
2503,Kota Sorong,25,Papua Barat,TRUE
2504,Manokwari,25,Papua Barat,FALSE
2505,Manokwari Selatan,25,Papua Barat,FALSE
2506,Maybrat,25,Papua Barat,FALSE
2507,Pegunungan Arfak,25,Papua Barat,FALSE
2508,Raja Ampat,25,Papua Barat,FALSE
2509,Sorong,25,Papua Barat,FALSE
2510,Sorong Selatan,25,Papua Barat,FALSE
